PARENT_CATEGORY,CHILD_CATEGORY
vodka,flavouredvodka
vodka,premiumvodka
vodka,plainvodka
rum,spicedrum
rum,flavouredrum
rum,darkrum
rum,goldrum
rum,whiterum
rum,navyrum
gin,flavouredgin
gin,drygin
gin,sloegin
gin,oldtomgin
gin,caskagedgin
gin,jenever
rum,spicedrum
rum,flavouredrum
rum,darkrum
rum,goldrum
rum,navyrum
rum,whiterum
whiskywhiskey&bourbon,scotchwhisky
whiskywhiskey&bourbon,irishwhiskey
whiskywhiskey&bourbon,americanwhisky
whiskywhiskey&bourbon,singlemaltwhisky
tequila&mezcal,anejotequila
tequila&mezcal,reposadotequila
tequila&mezcal,blancotequila
tequila&mezcal,mezcal
brandy,cognac
brandy,armangnac
sherryvermouth&liqueurs,sherry
sherryvermouth&liqueurs,vermouth
sherryvermouth&liqueurs,bitters
sherryvermouth&liqueurs,liqueurs
sherryvermouth&liqueurs,port
alcoholfreedrinks,no&lowalcohol
alcoholfreedrinks,tonicwater
alcoholfreedrinks,sodawater
alcoholfreedrinks,cocktailsyrups
alcoholfreedrinks,botanicalspirits
alcoholfreedrinks,mixers
specialoffers,multibuyoffers
specialoffers,topsavings
wine,redwine
wine,whitewine
wine,rosewine
wine,sparkilingwine
wine,champagne
wine,binend&winecasedeals
giftideas,christmasgifts
giftideas,birthdaygifts
